name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0
erling-haaland,22,Centre-Forward,1.95,170000.0,23,21,41,41,12,4,0,0,30,29,8,3,0,0,52,52,9,5,0,0
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0
enzo-fernandez,22,Defensive Midfield,1.78,85000.0,12,2,40,2,5,7,1,0,28,10,7,3,0,0,51,4,9,11,0,0
declan-rice,24,Defensive Midfield,1.88,80000.0,41,3,35,2,1,2,0,0,50,5,4,11,0,0,50,5,4,5,0,0
harry-kane,29,Centre-Forward,1.88,90000.0,82,55,49,33,17,2,0,0,50,27,10,5,0,0,49,32,5,7,0,0
bernardo-silva,28,Attacking Midfield,1.73,80000.0,80,10,45,5,9,8,0,0,50,13,7,6,0,0,54,7,8,9,0,0
kevin-de-bruyne,31,Attacking Midfield,1.81,80000.0,99,26,40,10,18,3,0,0,45,19,14,4,0,0,48,10,31,2,0,0
phil-foden,23,Left Winger,1.71,110000.0,23,3,50,16,10,0,0,0,45,14,11,2,0,0,47,15,8,3,0,0
rodri,26,Defensive Midfield,1.91,80000.0,41,1,53,2,5,7,0,0,46,7,2,8,0,0,55,3,7,9,0,0
marcus-rashford,25,Left Winger,1.85,80000.0,51,15,57,21,15,4,0,0,32,5,2,3,0,0,56,30,11,2,0,0
luis-diaz,26,Left Winger,1.8,75000.0,37,8,47,11,6,2,0,1,54,22,11,3,0,0,21,5,3,2,0,0
ruben-dias,26,Centre-Back,1.87,75000.0,46,2,53,2,0,7,0,0,40,2,5,6,0,0,42,1,0,6,0,0
gabriel-jesus,26,Centre-Forward,1.75,75000.0,59,19,42,14,4,3,0,0,41,13,12,5,0,0,33,11,8,7,0,0
jack-grealish,27,Left Winger,1.8,70000.0,31,2,27,7,12,5,0,0,39,6,4,3,0,0,49,5,11,6,0,0
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0
darwin-nunez,23,Centre-Forward,1.87,70000.0,16,3,44,14,12,2,0,0,41,34,4,8,0,0,42,15,4,3,0,1
antony,23,Right Winger,1.72,70000.0,15,2,46,10,10,2,0,0,33,12,10,5,1,0,47,10,5,8,0,0
gabriel-martinelli,21,Left Winger,1.78,70000.0,6,0,23,2,2,1,0,0,36,6,7,4,1,0,46,15,6,5,0,0
bruno-fernandes,28,Attacking Midfield,1.79,75000.0,55,13,58,28,17,7,0,0,46,10,14,10,0,0,59,14,15,12,0,0
reece-james,23,Right-Back,1.8,70000.0,16,0,47,1,5,4,0,0,39,6,10,7,0,1,24,2,2,7,0,0
wesley-fofana,22,Centre-Back,1.86,65000.0,0,0,42,0,1,11,0,0,12,1,0,3,0,0,22,2,0,5,0,0
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0
trent-alexander-arnold,24,Right-Back,1.8,65000.0,18,1,45,2,9,4,0,0,47,2,19,5,0,0,47,4,10,7,0,0
mason-mount,24,Attacking Midfield,1.81,65000.0,36,5,54,9,9,6,0,0,53,13,16,4,0,0,35,3,6,7,0,0
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0
cody-gakpo,24,Left Winger,1.93,60000.0,15,6,29,11,3,2,0,0,47,21,15,2,0,0,50,20,20,1,0,0
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0
