name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22,goal_percentage20,goal_percentage21,goal_percentage22,assists_percentage20,assists_percentage21,assists_percentage22,goalkeeper,deff,middle,attack
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0,0.06896551724137931,0.175,0.3333333333333333,0.06896551724137931,0.125,0.17777777777777778,0,0,1,0
erling-haaland,22,Centre-Forward,1.95,170000.0,23,21,41,41,12,4,0,0,30,29,8,3,0,0,52,52,9,5,0,0,1.0,0.9666666666666667,1.0,0.2926829268292683,0.26666666666666666,0.17307692307692307,0,0,0,1
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0,0.15217391304347827,0.27906976744186046,0.3125,0.21739130434782608,0.16279069767441862,0.22916666666666666,0,0,0,1
enzo-fernandez,22,Defensive Midfield,1.78,85000.0,12,2,40,2,5,7,1,0,28,10,7,3,0,0,51,4,9,11,0,0,0.05,0.35714285714285715,0.0784313725490196,0.125,0.25,0.17647058823529413,0,0,1,0
declan-rice,24,Defensive Midfield,1.88,80000.0,41,3,35,2,1,2,0,0,50,5,4,11,0,0,50,5,4,5,0,0,0.05714285714285714,0.1,0.1,0.02857142857142857,0.08,0.08,0,0,1,0
harry-kane,29,Centre-Forward,1.88,90000.0,82,55,49,33,17,2,0,0,50,27,10,5,0,0,49,32,5,7,0,0,0.673469387755102,0.54,0.6530612244897959,0.3469387755102041,0.2,0.10204081632653061,0,0,0,1
bernardo-silva,28,Attacking Midfield,1.73,80000.0,80,10,45,5,9,8,0,0,50,13,7,6,0,0,54,7,8,9,0,0,0.1111111111111111,0.26,0.12962962962962962,0.2,0.14,0.14814814814814814,0,0,1,0
kevin-de-bruyne,31,Attacking Midfield,1.81,80000.0,99,26,40,10,18,3,0,0,45,19,14,4,0,0,48,10,31,2,0,0,0.25,0.4222222222222222,0.20833333333333334,0.45,0.3111111111111111,0.6458333333333334,0,0,1,0
phil-foden,23,Left Winger,1.71,110000.0,23,3,50,16,10,0,0,0,45,14,11,2,0,0,47,15,8,3,0,0,0.32,0.3111111111111111,0.3191489361702128,0.2,0.24444444444444444,0.1702127659574468,0,0,0,1
rodri,26,Defensive Midfield,1.91,80000.0,41,1,53,2,5,7,0,0,46,7,2,8,0,0,55,3,7,9,0,0,0.03773584905660377,0.15217391304347827,0.05454545454545454,0.09433962264150944,0.043478260869565216,0.12727272727272726,0,0,1,0
marcus-rashford,25,Left Winger,1.85,80000.0,51,15,57,21,15,4,0,0,32,5,2,3,0,0,56,30,11,2,0,0,0.3684210526315789,0.15625,0.5357142857142857,0.2631578947368421,0.0625,0.19642857142857142,0,0,0,1
luis-diaz,26,Left Winger,1.8,75000.0,37,8,47,11,6,2,0,1,54,22,11,3,0,0,21,5,3,2,0,0,0.23404255319148937,0.4074074074074074,0.23809523809523808,0.1276595744680851,0.2037037037037037,0.14285714285714285,0,0,0,1
ruben-dias,26,Centre-Back,1.87,75000.0,46,2,53,2,0,7,0,0,40,2,5,6,0,0,42,1,0,6,0,0,0.03773584905660377,0.05,0.023809523809523808,0.0,0.125,0.0,0,1,0,0
gabriel-jesus,26,Centre-Forward,1.75,75000.0,59,19,42,14,4,3,0,0,41,13,12,5,0,0,33,11,8,7,0,0,0.3333333333333333,0.3170731707317073,0.3333333333333333,0.09523809523809523,0.2926829268292683,0.24242424242424243,0,0,0,1
jack-grealish,27,Left Winger,1.8,70000.0,31,2,27,7,12,5,0,0,39,6,4,3,0,0,49,5,11,6,0,0,0.25925925925925924,0.15384615384615385,0.10204081632653061,0.4444444444444444,0.10256410256410256,0.22448979591836735,0,0,0,1
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.11764705882352941,0.3137254901960784,0.3137254901960784,0,0,0,1
darwin-nunez,23,Centre-Forward,1.87,70000.0,16,3,44,14,12,2,0,0,41,34,4,8,0,0,42,15,4,3,0,1,0.3181818181818182,0.8292682926829268,0.35714285714285715,0.2727272727272727,0.0975609756097561,0.09523809523809523,0,0,0,1
antony,23,Right Winger,1.72,70000.0,15,2,46,10,10,2,0,0,33,12,10,5,1,0,47,10,5,8,0,0,0.21739130434782608,0.36363636363636365,0.2127659574468085,0.21739130434782608,0.30303030303030304,0.10638297872340426,0,0,0,1
gabriel-martinelli,21,Left Winger,1.78,70000.0,6,0,23,2,2,1,0,0,36,6,7,4,1,0,46,15,6,5,0,0,0.08695652173913043,0.16666666666666666,0.32608695652173914,0.08695652173913043,0.19444444444444445,0.13043478260869565,0,0,0,1
bruno-fernandes,28,Attacking Midfield,1.79,75000.0,55,13,58,28,17,7,0,0,46,10,14,10,0,0,59,14,15,12,0,0,0.4827586206896552,0.21739130434782608,0.23728813559322035,0.29310344827586204,0.30434782608695654,0.2542372881355932,0,0,1,0
